length,size,datatype,metric,NeighNum,res_train (mean),res_test (mean),res_train,res_test,train_nums,test_nums,pred_nums
1000,10485760,['size'],canberra,7,0.7133333333333334,0.7142857142857143,214,500,[ 74 213  13],[163 503  34],[  4 496   0]
1000,10485760,['size'],canberra,8,0.7266666666666667,0.7185714285714285,218,503,[ 74 213  13],[163 503  34],[  3 500   0]
1000,10485760,['size'],canberra,9,0.7133333333333334,0.7185714285714285,214,503,[ 74 213  13],[163 503  34],[  4 499   0]
1000,10485760,['size'],canberra,10,0.71,0.72,213,504,[ 74 213  13],[163 503  34],[  1 503   0]
1000,10485760,['size'],chebyshev,1,1.0,0.5714285714285714,300,400,[ 74 213  13],[163 503  34],[ 49 351   0]
1000,10485760,['size'],chebyshev,2,0.72,0.5,216,350,[ 74 213  13],[163 503  34],[ 77 273   0]
1000,10485760,['size'],chebyshev,3,0.74,0.6214285714285714,222,435,[ 74 213  13],[163 503  34],[ 33 402   0]
1000,10485760,['size'],chebyshev,4,0.7233333333333334,0.5871428571428572,217,411,[ 74 213  13],[163 503  34],[ 47 364   0]
1000,10485760,['size'],chebyshev,5,0.7466666666666667,0.6557142857142857,224,459,[ 74 213  13],[163 503  34],[ 21 438   0]
1000,10485760,['size'],chebyshev,6,0.7466666666666667,0.6514285714285715,224,456,[ 74 213  13],[163 503  34],[ 34 422   0]
1000,10485760,['size'],chebyshev,7,0.7333333333333333,0.6914285714285714,220,484,[ 74 213  13],[163 503  34],[ 16 468   0]
1000,10485760,['size'],chebyshev,8,0.7366666666666667,0.6828571428571428,221,478,[ 74 213  13],[163 503  34],[ 20 458   0]
1000,10485760,['size'],chebyshev,9,0.72,0.6985714285714286,216,489,[ 74 213  13],[163 503  34],[ 10 479   0]
1000,10485760,['size'],chebyshev,10,0.7166666666666667,0.6957142857142857,215,487,[ 74 213  13],[163 503  34],[ 13 474   0]
1000,10485760,['size'],cityblock,1,1.0,0.5185714285714286,300,363,[ 74 213  13],[163 503  34],[ 21 340   2]
1000,10485760,['size'],cityblock,2,0.8466666666666667,0.5257142857142857,254,368,[ 74 213  13],[163 503  34],[ 50 318   0]
1000,10485760,['size'],cityblock,3,0.7166666666666667,0.54,215,378,[ 74 213  13],[163 503  34],[ 31 347   0]
1000,10485760,['size'],cityblock,4,0.7566666666666667,0.58,227,406,[ 74 213  13],[163 503  34],[ 33 373   0]
1000,10485760,['size'],cityblock,5,0.6833333333333333,0.5728571428571428,205,401,[ 74 213  13],[163 503  34],[ 26 375   0]
1000,10485760,['size'],cityblock,6,0.79,0.7185714285714285,237,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],cityblock,7,0.7933333333333333,0.72,238,504,[ 74 213  13],[163 503  34],[  1 503   0]
1000,10485760,['size'],cityblock,8,0.7266666666666667,0.7185714285714285,218,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],cityblock,9,0.7166666666666667,0.7185714285714285,215,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],cityblock,10,0.7133333333333334,0.7185714285714285,214,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],euclidean,1,1.0,0.6557142857142857,300,459,[ 74 213  13],[163 503  34],[ 30 429   0]
1000,10485760,['size'],euclidean,2,0.8166666666666667,0.5457142857142857,245,382,[ 74 213  13],[163 503  34],[ 60 322   0]
1000,10485760,['size'],euclidean,3,0.7866666666666666,0.7057142857142857,236,494,[ 74 213  13],[163 503  34],[  3 491   0]
1000,10485760,['size'],euclidean,4,0.8333333333333334,0.6914285714285714,250,484,[ 74 213  13],[163 503  34],[ 10 474   0]
1000,10485760,['size'],euclidean,5,0.72,0.7142857142857143,216,500,[ 74 213  13],[163 503  34],[  0 500   0]
1000,10485760,['size'],euclidean,6,0.73,0.7071428571428572,219,495,[ 74 213  13],[163 503  34],[  8 487   0]
1000,10485760,['size'],euclidean,7,0.7166666666666667,0.7157142857142857,215,501,[ 74 213  13],[163 503  34],[  1 500   0]
1000,10485760,['size'],euclidean,8,0.7133333333333334,0.7185714285714285,214,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],euclidean,9,0.71,0.7185714285714285,213,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],euclidean,10,0.71,0.7185714285714285,213,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],minkowski,1,1.0,0.6557142857142857,300,459,[ 74 213  13],[163 503  34],[ 30 429   0]
1000,10485760,['size'],minkowski,2,0.8166666666666667,0.5457142857142857,245,382,[ 74 213  13],[163 503  34],[ 60 322   0]
1000,10485760,['size'],minkowski,3,0.7866666666666666,0.7057142857142857,236,494,[ 74 213  13],[163 503  34],[  3 491   0]
1000,10485760,['size'],minkowski,4,0.8333333333333334,0.6914285714285714,250,484,[ 74 213  13],[163 503  34],[ 10 474   0]
1000,10485760,['size'],minkowski,5,0.72,0.7142857142857143,216,500,[ 74 213  13],[163 503  34],[  0 500   0]
1000,10485760,['size'],minkowski,6,0.73,0.7071428571428572,219,495,[ 74 213  13],[163 503  34],[  8 487   0]
1000,10485760,['size'],minkowski,7,0.7166666666666667,0.7157142857142857,215,501,[ 74 213  13],[163 503  34],[  1 500   0]
1000,10485760,['size'],minkowski,8,0.7133333333333334,0.7185714285714285,214,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],minkowski,9,0.71,0.7185714285714285,213,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['size'],minkowski,10,0.71,0.7185714285714285,213,503,[ 74 213  13],[163 503  34],[  0 503   0]
1000,10485760,['time'],braycurtis,1,1.0,0.6028571428571429,300,422,[ 74 213  13],[163 503  34],[ 55 364   3]
1000,10485760,['time'],braycurtis,2,0.7766666666666666,0.5242857142857142,233,367,[ 74 213  13],[163 503  34],[ 82 285   0]
1000,10485760,['time'],braycurtis,3,0.7866666666666666,0.6328571428571429,236,443,[ 74 213  13],[163 503  34],[ 45 398   0]
1000,10485760,['time'],braycurtis,4,0.74,0.6042857142857143,222,423,[ 74 213  13],[163 503  34],[ 51 372   0]
1000,10485760,['time'],braycurtis,5,0.7566666666666667,0.6557142857142857,227,459,[ 74 213  13],[163 503  34],[ 36 423   0]
1000,10485760,['time'],braycurtis,6,0.75,0.6585714285714286,225,461,[ 74 213  13],[163 503  34],[ 39 422   0]
1000,10485760,['time'],braycurtis,7,0.7466666666666667,0.6642857142857143,224,465,[ 74 213  13],[163 503  34],[ 22 443   0]
1000,10485760,['time'],braycurtis,8,0.76,0.6842857142857143,228,479,[ 74 213  13],[163 503  34],[ 20 459   0]
1000,10485760,['time'],braycurtis,9,0.74,0.6771428571428572,222,474,[ 74 213  13],[163 503  34],[ 18 456   0]
1000,10485760,['time'],braycurtis,10,0.7366666666666667,0.6885714285714286,221,482,[ 74 213  13],[163 503  34],[ 13 469   0]
1000,10485760,['time'],canberra,1,1.0,0.6042857142857143,300,423,[ 74 213  13],[163 503  34],[ 48 373   2]
1000,10485760,['time'],canberra,2,0.81,0.5542857142857143,243,388,[ 74 213  13],[163 503  34],[ 77 311   0]
1000,10485760,['time'],canberra,3,0.8,0.6528571428571428,240,457,[ 74 213  13],[163 503  34],[ 50 407   0]
1000,10485760,['time'],canberra,4,0.7733333333333333,0.6342857142857142,232,444,[ 74 213  13],[163 503  34],[ 50 394   0]
1000,10485760,['time'],canberra,5,0.7433333333333333,0.66,223,462,[ 74 213  13],[163 503  34],[ 35 427   0]
