length,size,datatype,NeighNum,test_score,dim,NN_test_score
1000,33554432,['size'],6,0.4257142857142857,10,0.5085714285714286
1000,33554432,['size'],6,0.4257142857142857,20,0.5328571428571428
1000,33554432,['size'],7,0.5471428571428572,5,0.4214285714285714
1000,33554432,['size'],7,0.5471428571428572,10,0.5214285714285715
1000,33554432,['size'],7,0.5471428571428572,20,0.53
1000,33554432,['size'],8,0.4585714285714286,5,0.4185714285714286
1000,33554432,['size'],8,0.4585714285714286,10,0.5071428571428571
1000,33554432,['size'],8,0.4585714285714286,20,0.5528571428571428
1000,33554432,['size'],9,0.7,5,0.4242857142857143
1000,33554432,['size'],9,0.7,10,0.5185714285714286
1000,33554432,['size'],9,0.7,20,0.5457142857142857
1000,33554432,['size'],10,0.69,5,0.4257142857142857
1000,33554432,['size'],10,0.69,10,0.5228571428571429
1000,33554432,['size'],10,0.69,20,0.5671428571428572
1000,67108864,['size' 'time'],1,0.3342857142857143,5,0.25142857142857145
1000,67108864,['size' 'time'],1,0.3342857142857143,10,0.36
1000,67108864,['size' 'time'],1,0.3342857142857143,20,0.3442857142857143
1000,67108864,['size' 'time'],2,0.3142857142857143,5,0.2957142857142857
1000,67108864,['size' 'time'],2,0.3142857142857143,10,0.3742857142857143
1000,67108864,['size' 'time'],2,0.3142857142857143,20,0.3485714285714286
1000,67108864,['size' 'time'],3,0.3142857142857143,5,0.3585714285714286
1000,67108864,['size' 'time'],3,0.3142857142857143,10,0.4985714285714286
1000,67108864,['size' 'time'],3,0.3142857142857143,20,0.5042857142857143
1000,67108864,['size' 'time'],4,0.3142857142857143,5,0.32285714285714284
1000,67108864,['size' 'time'],4,0.3142857142857143,10,0.44857142857142857
1000,67108864,['size' 'time'],4,0.3142857142857143,20,0.4442857142857143
1000,67108864,['size' 'time'],5,0.3142857142857143,5,0.3485714285714286
1000,67108864,['size' 'time'],5,0.3142857142857143,10,0.5014285714285714
1000,67108864,['size' 'time'],5,0.3142857142857143,20,0.4857142857142857
1000,67108864,['size' 'time'],6,0.3142857142857143,5,0.3314285714285714
1000,67108864,['size' 'time'],6,0.3142857142857143,10,0.4642857142857143
1000,67108864,['size' 'time'],6,0.3142857142857143,20,0.4514285714285714
1000,67108864,['size' 'time'],7,0.3142857142857143,5,0.3485714285714286
1000,67108864,['size' 'time'],7,0.3142857142857143,10,0.49
1000,67108864,['size' 'time'],7,0.3142857142857143,20,0.4685714285714286
1000,67108864,['size' 'time'],8,0.3142857142857143,5,0.34714285714285714
1000,67108864,['size' 'time'],8,0.3142857142857143,10,0.4942857142857143
1000,67108864,['size' 'time'],8,0.3142857142857143,20,0.5371428571428571
1000,67108864,['size' 'time'],9,0.3142857142857143,5,0.3528571428571429
1000,67108864,['size' 'time'],9,0.3142857142857143,10,0.5171428571428571
1000,67108864,['size' 'time'],9,0.3142857142857143,20,0.5242857142857142
