length,cache size,datatype,red. length,neigh. num,train score,test score
1000,2147483648,['size'],5,2,1.0,1.0
1000,2147483648,['size'],5,3,1.0,1.0
1000,2147483648,['size'],5,4,1.0,1.0
1000,2147483648,['size'],5,5,1.0,1.0
1000,2147483648,['size'],5,6,1.0,1.0
1000,2147483648,['size'],5,7,1.0,1.0
1000,2147483648,['size'],5,8,1.0,1.0
1000,2147483648,['size'],5,9,1.0,1.0
1000,2147483648,['size'],5,10,1.0,1.0
1000,10485760,['time'],5,1,1.0,0.5928571428571429
1000,10485760,['time'],5,2,0.7933333333333333,0.54
1000,10485760,['time'],5,3,0.7733333333333333,0.6471428571428571
1000,10485760,['time'],5,4,0.76,0.6328571428571429
1000,10485760,['time'],5,5,0.7566666666666667,0.6642857142857143
1000,10485760,['time'],5,6,0.7533333333333333,0.6585714285714286
1000,10485760,['time'],5,7,0.7433333333333333,0.6785714285714286
1000,10485760,['time'],5,8,0.7433333333333333,0.6714285714285714
1000,10485760,['time'],5,9,0.7333333333333333,0.7028571428571428
1000,10485760,['time'],5,10,0.7266666666666667,0.7014285714285714
1000,33554432,['time'],5,1,1.0,0.5442857142857143
1000,33554432,['time'],5,2,0.8266666666666667,0.5157142857142857
1000,33554432,['time'],5,3,0.8066666666666666,0.6157142857142858
1000,33554432,['time'],5,4,0.7733333333333333,0.5785714285714286
1000,33554432,['time'],5,5,0.7666666666666667,0.6485714285714286
1000,33554432,['time'],5,6,0.75,0.6214285714285714
1000,33554432,['time'],5,7,0.7666666666666667,0.6671428571428571
1000,33554432,['time'],5,8,0.75,0.6614285714285715
1000,33554432,['time'],5,9,0.76,0.6757142857142857
1000,33554432,['time'],5,10,0.7433333333333333,0.6842857142857143
1000,67108864,['time'],5,1,1.0,0.5157142857142857
1000,67108864,['time'],5,2,0.75,0.49142857142857144
1000,67108864,['time'],5,3,0.75,0.5385714285714286
1000,67108864,['time'],5,4,0.7166666666666667,0.5428571428571428
1000,67108864,['time'],5,5,0.6966666666666667,0.5628571428571428
1000,67108864,['time'],5,6,0.6933333333333334,0.56
1000,67108864,['time'],5,7,0.6733333333333333,0.5685714285714286
1000,67108864,['time'],5,8,0.6533333333333333,0.57
1000,67108864,['time'],5,9,0.65,0.5785714285714286
1000,67108864,['time'],5,10,0.6366666666666667,0.5885714285714285
1000,134217728,['time'],5,1,1.0,0.5157142857142857
1000,134217728,['time'],5,2,0.7833333333333333,0.5057142857142857
1000,134217728,['time'],5,3,0.7466666666666667,0.5542857142857143
1000,134217728,['time'],5,4,0.71,0.5457142857142857
1000,134217728,['time'],5,5,0.7366666666666667,0.5628571428571428
1000,134217728,['time'],5,6,0.6966666666666667,0.55
1000,134217728,['time'],5,7,0.68,0.5757142857142857
1000,134217728,['time'],5,8,0.6633333333333333,0.5585714285714286
1000,134217728,['time'],5,9,0.67,0.5714285714285714
1000,134217728,['time'],5,10,0.68,0.5628571428571428
1000,167772160,['time'],5,1,1.0,0.5257142857142857
1000,167772160,['time'],5,2,0.77,0.49714285714285716
1000,167772160,['time'],5,3,0.7633333333333333,0.49857142857142855
1000,167772160,['time'],5,4,0.7133333333333334,0.5057142857142857
1000,167772160,['time'],5,5,0.6866666666666666,0.5242857142857142
1000,167772160,['time'],5,6,0.6533333333333333,0.5328571428571428
1000,167772160,['time'],5,7,0.66,0.52
1000,167772160,['time'],5,8,0.6666666666666666,0.5314285714285715
1000,167772160,['time'],5,9,0.66,0.5342857142857143
1000,167772160,['time'],5,10,0.6533333333333333,0.5228571428571429
1000,201326592,['time'],5,1,1.0,0.5171428571428571
1000,201326592,['time'],5,2,0.7266666666666667,0.5157142857142857
1000,201326592,['time'],5,3,0.7,0.4785714285714286
1000,201326592,['time'],5,4,0.67,0.5085714285714286
1000,201326592,['time'],5,5,0.6533333333333333,0.5
1000,201326592,['time'],5,6,0.6066666666666667,0.5214285714285715
1000,201326592,['time'],5,7,0.6333333333333333,0.48142857142857143
1000,201326592,['time'],5,8,0.62,0.5271428571428571
1000,201326592,['time'],5,9,0.6166666666666667,0.4942857142857143
1000,201326592,['time'],5,10,0.5933333333333334,0.5057142857142857
1000,234881024,['time'],5,1,1.0,0.5228571428571429
1000,234881024,['time'],5,2,0.74,0.6428571428571429
1000,234881024,['time'],5,3,0.7233333333333334,0.5871428571428572
1000,234881024,['time'],5,4,0.67,0.6571428571428571
1000,234881024,['time'],5,5,0.6466666666666666,0.6128571428571429
1000,234881024,['time'],5,6,0.6533333333333333,0.6585714285714286
1000,234881024,['time'],5,7,0.6333333333333333,0.62
1000,234881024,['time'],5,8,0.65,0.6514285714285715
1000,234881024,['time'],5,9,0.64,0.6285714285714286
1000,234881024,['time'],5,10,0.65,0.6414285714285715
1000,268435456,['time'],5,1,1.0,0.65
1000,268435456,['time'],5,2,0.8166666666666667,0.7614285714285715
1000,268435456,['time'],5,3,0.8,0.7185714285714285
1000,268435456,['time'],5,4,0.79,0.7771428571428571
1000,268435456,['time'],5,5,0.79,0.7671428571428571
1000,268435456,['time'],5,6,0.78,0.7842857142857143
1000,268435456,['time'],5,7,0.7666666666666667,0.7842857142857143
1000,268435456,['time'],5,8,0.7766666666666666,0.7885714285714286
1000,268435456,['time'],5,9,0.7733333333333333,0.7857142857142857
1000,268435456,['time'],5,10,0.7766666666666666,0.79
1000,536870912,['time'],5,1,1.0,1.0
1000,536870912,['time'],5,2,1.0,1.0
1000,536870912,['time'],5,3,1.0,1.0
1000,536870912,['time'],5,4,1.0,1.0
1000,536870912,['time'],5,5,1.0,1.0
1000,536870912,['time'],5,6,1.0,1.0
1000,536870912,['time'],5,7,1.0,1.0
1000,536870912,['time'],5,8,1.0,1.0
1000,536870912,['time'],5,9,1.0,1.0
1000,536870912,['time'],5,10,1.0,1.0
1000,1073741824,['time'],5,1,1.0,1.0
1000,1073741824,['time'],5,2,1.0,1.0
1000,1073741824,['time'],5,3,1.0,1.0
1000,1073741824,['time'],5,4,1.0,1.0
1000,1073741824,['time'],5,5,1.0,1.0
1000,1073741824,['time'],5,6,1.0,1.0
1000,1073741824,['time'],5,7,1.0,1.0
1000,1073741824,['time'],5,8,1.0,1.0
1000,1073741824,['time'],5,9,1.0,1.0
1000,1073741824,['time'],5,10,1.0,1.0
1000,2147483648,['time'],5,1,1.0,1.0
1000,2147483648,['time'],5,2,1.0,1.0
1000,2147483648,['time'],5,3,1.0,1.0
1000,2147483648,['time'],5,4,1.0,1.0
1000,2147483648,['time'],5,5,1.0,1.0
1000,2147483648,['time'],5,6,1.0,1.0
1000,2147483648,['time'],5,7,1.0,1.0
1000,2147483648,['time'],5,8,1.0,1.0
1000,2147483648,['time'],5,9,1.0,1.0
1000,2147483648,['time'],5,10,1.0,1.0
10000,10485760,['size' 'time'],5,1,1.0,0.72
10000,10485760,['size' 'time'],5,2,0.9933333333333333,0.7257142857142858
10000,10485760,['size' 'time'],5,3,0.9933333333333333,0.7428571428571429
10000,10485760,['size' 'time'],5,4,0.99,0.7485714285714286
10000,10485760,['size' 'time'],5,5,0.99,0.75
10000,10485760,['size' 'time'],5,6,0.99,0.75
10000,10485760,['size' 'time'],5,7,0.99,0.7528571428571429
10000,10485760,['size' 'time'],5,8,0.99,0.7528571428571429
10000,10485760,['size' 'time'],5,9,0.99,0.7542857142857143
10000,10485760,['size' 'time'],5,10,0.9766666666666667,0.7542857142857143
10000,33554432,['size' 'time'],5,1,1.0,0.7957142857142857
10000,33554432,['size' 'time'],5,2,0.9966666666666667,0.8071428571428572
10000,33554432,['size' 'time'],5,3,0.9966666666666667,0.8128571428571428
10000,33554432,['size' 'time'],5,4,0.99,0.8214285714285714
10000,33554432,['size' 'time'],5,5,0.9966666666666667,0.8228571428571428
10000,33554432,['size' 'time'],5,6,0.9966666666666667,0.8285714285714286
10000,33554432,['size' 'time'],5,7,0.9966666666666667,0.8285714285714286
